538
45530 0.0011366200
45540 0.0013621800
45550 0.0016176500
45560 0.0019248500
45570 0.0022716200
45580 0.0026576100
45590 0.0030853900
45600 0.0035707100
45610 0.0040916100
45620 0.0046438200
45630 0.0052251600
45640 0.0058294400
45650 0.0064428000
45660 0.0070584800
45670 0.0076612300
45680 0.0082365500
45690 0.0087877300
45700 0.0093120800
45710 0.0097905900
45720 0.0102268000
45730 0.0106320000
45740 0.0110089000
45750 0.0113555000
45760 0.0116869000
45770 0.0120126000
45780 0.0123389000
45790 0.0126803000
45800 0.0130408000
45810 0.0134254000
45820 0.0138410000
45830 0.0143095000
45840 0.0148184000
45850 0.0153689000
45860 0.0159670000
45870 0.0166352000
45880 0.0173546000
45890 0.0181250000
45900 0.0189543000
45910 0.0198522000
45920 0.0208017000
45930 0.0218030000
45940 0.0228714000
45950 0.0239984000
45960 0.0251714000
45970 0.0263879000
45980 0.0276583000
45990 0.0289693000
46000 0.0303113000
46010 0.0316817000
46020 0.0330830000
46030 0.0344969000
46040 0.0359191000
46050 0.0373462000
46060 0.0387764000
46070 0.0401958000
46080 0.0416021000
46090 0.0429921000
46100 0.0443574000
46110 0.0457018000
46120 0.0470250000
46130 0.0483241000
46140 0.0495943000
46150 0.0508479000
46160 0.0520874000
46170 0.0533119000
46180 0.0545359000
46190 0.0557641000
46200 0.0569994000
46210 0.0582515000
46220 0.0595390000
46230 0.0608616000
46240 0.0622247000
46250 0.0636590000
46260 0.0651637000
46270 0.0667397000
46280 0.0683938000
46290 0.0701859000
46300 0.0720887000
46310 0.0741052000
46320 0.0762469000
46330 0.0785859000
46340 0.0810819000
46350 0.0837435000
46360 0.0865964000
46370 0.0897120000
46380 0.0930339000
46390 0.0965709000
46400 0.1003790000
46410 0.1045220000
46420 0.1089360000
46430 0.1136250000
46440 0.1186880000
46450 0.1241430000
46460 0.1299290000
46470 0.1360600000
46480 0.1426890000
46490 0.1497660000
46500 0.1572310000
46510 0.1651010000
46520 0.1735750000
46530 0.1825240000
46540 0.1919160000
46550 0.2017610000
46560 0.2122870000
46570 0.2232670000
46580 0.2346940000
46590 0.2465980000
46600 0.2591500000
46610 0.2721080000
46620 0.2854660000
46630 0.2992510000
