 Wavelength  FilterTrans          PCE 
      0.637          0.0          0.0 
      0.638          0.0          0.0 
      0.639          0.0          0.0 
       0.64          0.0          0.0 
      0.641          0.0          0.0 
      0.642          0.0          0.0 
      0.643          0.0          0.0 
      0.644          0.0          0.0 
      0.645          0.0          0.0 
      0.646          0.0          0.0 
      0.647          0.0          0.0 
      0.648          0.0          0.0 
      0.649          0.0          0.0 
       0.65          0.0          0.0 
      0.651          0.0          0.0 
      0.652          0.0          0.0 
      0.653          0.0          0.0 
      0.654          0.0          0.0 
      0.655          0.0          0.0 
      0.656          0.0          0.0 
      0.657   1.0172e-08  4.63479e-09 
      0.658  2.40457e-08  1.10701e-08 
      0.659  6.65912e-08  3.09711e-08 
       0.66        1e-07  4.69741e-08 
      0.661  9.08876e-08  4.30784e-08 
      0.662  7.13856e-08  3.41302e-08 
      0.663   6.4375e-08  3.10543e-08 
      0.664  1.08454e-07  5.27719e-08 
      0.665  8.00876e-08  3.93021e-08 
      0.666  4.58182e-08  2.26789e-08 
      0.667  2.94069e-08   1.4681e-08 
      0.668  1.89527e-08   9.5402e-09 
      0.669  1.87194e-08  9.50238e-09 
       0.67  1.55384e-08  7.95299e-09 
      0.671  1.41402e-08  7.29737e-09 
      0.672  1.79036e-08  9.31524e-09 
      0.673   1.6986e-08  8.90847e-09 
      0.674  1.80141e-08  9.52405e-09 
      0.675  2.09165e-08  1.11444e-08 
      0.676  2.27117e-08  1.21982e-08 
      0.677   2.1697e-08  1.17449e-08 
      0.678  1.78778e-08  9.75143e-09 
      0.679  1.66003e-08  9.12423e-09 
       0.68  2.07219e-08  1.14749e-08 
      0.681  2.74038e-08  1.52772e-08 
      0.682  3.83025e-08  2.14935e-08 
      0.683  4.79853e-08  2.71057e-08 
      0.684    3.584e-08  2.03755e-08 
      0.685  2.66891e-08  1.52706e-08 
      0.686  2.03014e-08  1.16902e-08 
      0.687  1.25409e-08  7.26689e-09 
      0.688          0.0          0.0 
      0.689          0.0          0.0 
       0.69          0.0          0.0 
      0.691          0.0          0.0 
      0.692          0.0          0.0 
      0.693          0.0          0.0 
      0.694          0.0          0.0 
      0.695          0.0          0.0 
      0.696          0.0          0.0 
      0.697          0.0          0.0 
      0.698  1.25631e-08  7.72914e-09 
      0.699  1.86541e-08  1.15302e-08 
        0.7  2.54892e-08   1.5831e-08 
      0.701  3.20022e-08  1.99666e-08 
      0.702  3.39204e-08  2.12631e-08 
      0.703  2.88742e-08  1.81819e-08 
      0.704  2.79437e-08  1.76726e-08 
      0.705  2.60286e-08  1.65318e-08 
      0.706  2.29733e-08  1.46529e-08 
      0.707  2.34439e-08  1.50133e-08 
      0.708  2.59678e-08  1.66996e-08 
      0.709  2.73762e-08  1.76739e-08 
       0.71  3.25853e-08  2.11202e-08 
      0.711   3.7684e-08  2.45157e-08 
      0.712  4.21202e-08  2.74987e-08 
      0.713  4.68932e-08  3.07177e-08 
      0.714  5.21426e-08   3.4271e-08 
      0.715  6.11679e-08  4.03349e-08 
      0.716   6.2581e-08  4.14002e-08 
      0.717  5.89704e-08  3.91377e-08 
      0.718  5.77796e-08   3.8462e-08 
      0.719  6.68871e-08  4.46631e-08 
       0.72    7.867e-08  5.26877e-08 
      0.721   9.4662e-08  6.35755e-08 
      0.722  1.25237e-07  8.43253e-08 
      0.723  1.59432e-07  1.07649e-07 
      0.724  1.99026e-07  1.34727e-07 
      0.725  2.88897e-07  1.96108e-07 
      0.726  3.89359e-07  2.64918e-07 
      0.727  4.16662e-07  2.84216e-07 
      0.728  4.05699e-07  2.77333e-07 
      0.729  3.86959e-07  2.65164e-07 
       0.73   3.1926e-07  2.19204e-07 
      0.731  2.96133e-07  2.03801e-07 
      0.732  3.11209e-07  2.14594e-07 
      0.733  3.14416e-07  2.17238e-07 
      0.734  3.47049e-07   2.4018e-07 
      0.735  3.84238e-07  2.66433e-07 
      0.736  3.70819e-07   2.5761e-07 
      0.737   3.9568e-07  2.75319e-07 
      0.738  4.81834e-07  3.35814e-07 
      0.739  5.50995e-07  3.84625e-07 
       0.74    6.205e-07  4.33755e-07 
      0.741  6.88977e-07  4.82281e-07 
      0.742  7.40021e-07  5.18742e-07 
      0.743  7.42938e-07  5.21375e-07 
      0.744  7.03755e-07  4.94549e-07 
      0.745  6.53472e-07   4.5965e-07 
      0.746  6.80816e-07  4.79368e-07 
      0.747  7.35507e-07  5.18402e-07 
      0.748  7.91633e-07  5.58484e-07 
      0.749  8.00367e-07  5.65152e-07 
       0.75  8.58953e-07  6.07128e-07 
