 Wavelength  FilterTrans          PCE 
        0.5          0.0          0.0 
      0.501          0.0          0.0 
      0.502          0.0          0.0 
      0.503          0.0          0.0 
      0.504          0.0          0.0 
      0.505          0.0          0.0 
      0.506          0.0          0.0 
      0.507          0.0          0.0 
      0.508          0.0          0.0 
      0.509          0.0          0.0 
       0.51          0.0          0.0 
      0.511          0.0          0.0 
      0.512          0.0          0.0 
      0.513          0.0          0.0 
      0.514          0.0          0.0 
      0.515          0.0          0.0 
      0.516          0.0          0.0 
      0.517          0.0          0.0 
      0.518          0.0          0.0 
      0.519          0.0          0.0 
       0.52          0.0          0.0 
      0.521          0.0          0.0 
      0.522          0.0          0.0 
      0.523          0.0          0.0 
      0.524          0.0          0.0 
      0.525          0.0          0.0 
      0.526          0.0          0.0 
      0.527          0.0          0.0 
      0.528          0.0          0.0 
      0.529          0.0          0.0 
       0.53          0.0          0.0 
      0.531          0.0          0.0 
      0.532          0.0          0.0 
      0.533          0.0          0.0 
      0.534          0.0          0.0 
      0.535          0.0          0.0 
      0.536          0.0          0.0 
      0.537          0.0          0.0 
      0.538          0.0          0.0 
      0.539          0.0          0.0 
       0.54          0.0          0.0 
      0.541          0.0          0.0 
      0.542          0.0          0.0 
      0.543          0.0          0.0 
      0.544          0.0          0.0 
      0.545          0.0          0.0 
      0.546          0.0          0.0 
      0.547          0.0          0.0 
      0.548          0.0          0.0 
      0.549          0.0          0.0 
       0.55          0.0          0.0 
      0.551          0.0          0.0 
      0.552          0.0          0.0 
      0.553          0.0          0.0 
      0.554          0.0          0.0 
      0.555          0.0          0.0 
      0.556          0.0          0.0 
      0.557          0.0          0.0 
      0.558          0.0          0.0 
      0.559          0.0          0.0 
       0.56          0.0          0.0 
      0.561          0.0          0.0 
      0.562          0.0          0.0 
      0.563          0.0          0.0 
      0.564          0.0          0.0 
      0.565          0.0          0.0 
      0.566          0.0          0.0 
      0.567          0.0          0.0 
      0.568          0.0          0.0 
      0.569          0.0          0.0 
       0.57          0.0          0.0 
      0.571          0.0          0.0 
      0.572          0.0          0.0 
      0.573          0.0          0.0 
      0.574          0.0          0.0 
      0.575          0.0          0.0 
      0.576          0.0          0.0 
      0.577          0.0          0.0 
      0.578          0.0          0.0 
      0.579          0.0          0.0 
       0.58          0.0          0.0 
      0.581          0.0          0.0 
      0.582          0.0          0.0 
      0.583          0.0          0.0 
      0.584          0.0          0.0 
      0.585          0.0          0.0 
      0.586          0.0          0.0 
      0.587          0.0          0.0 
      0.588          0.0          0.0 
      0.589          0.0          0.0 
       0.59          0.0          0.0 
      0.591          0.0          0.0 
      0.592          0.0          0.0 
      0.593          0.0          0.0 
      0.594          0.0          0.0 
      0.595          0.0          0.0 
      0.596          0.0          0.0 
      0.597          0.0          0.0 
      0.598          0.0          0.0 
      0.599          0.0          0.0 
        0.6          0.0          0.0 
      0.601          0.0          0.0 
      0.602          0.0          0.0 
      0.603          0.0          0.0 
      0.604          0.0          0.0 
      0.605          0.0          0.0 
      0.606          0.0          0.0 
      0.607          0.0          0.0 
      0.608          0.0          0.0 
      0.609          0.0          0.0 
       0.61          0.0          0.0 
      0.611          0.0          0.0 
      0.612          0.0          0.0 
      0.613          0.0          0.0 
      0.614          0.0          0.0 
      0.615          0.0          0.0 
      0.616          0.0          0.0 
      0.617          0.0          0.0 
      0.618          0.0          0.0 
      0.619          0.0          0.0 
       0.62          0.0          0.0 
      0.621          0.0          0.0 
      0.622          0.0          0.0 
      0.623          0.0          0.0 
      0.624          0.0          0.0 
      0.625          0.0          0.0 
      0.626          0.0          0.0 
      0.627          0.0          0.0 
      0.628          0.0          0.0 
      0.629          0.0          0.0 
       0.63          0.0          0.0 
      0.631   2.4407e-08  8.20008e-09 
      0.632  4.55752e-08  1.55094e-08 
      0.633  3.16461e-08   1.0908e-08 
      0.634          0.0          0.0 
      0.635          0.0          0.0 
      0.636          0.0          0.0 
      0.637          0.0          0.0 
      0.638          0.0          0.0 
      0.639          0.0          0.0 
       0.64  1.11281e-08  4.18826e-09 
      0.641  1.07668e-08  4.10135e-09 
      0.642          0.0          0.0 
      0.643          0.0          0.0 
      0.644          0.0          0.0 
